evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20110101_0957,-27.02,-63.21,586.0,LN.BZH.00,41.599,121.764,164.86,1772.805,1829.559,1848.924,1005.0,4.999,0.022,0.215,0.224,0.223,0.228,0.5,0.6,0.947,0.93,-2.3,0.549,0.549,0.4,0.733,0.549,0.6,0.735,0.549,0.7,0.735,0.549,0.6,0.739,0.549,0,-1.0,-14.082
20110101_0957,-27.02,-63.21,586.0,TM.MHIT.,19.315,97.963,161.084,1753.462,1805.357,1822.845,1006.0,4.087,0.237,0.291,0.293,0.291,0.291,-1.6,-1.2,0.456,0.479,-6.8,0.631,0.631,-6.2,0.706,0.631,-6.1,0.723,0.631,-6.1,0.722,0.631,-6.2,0.714,0.631,0,-1.0,110.615
20110101_0957,-27.02,-63.21,586.0,YN.QIJ.00,26.91,102.943,167.664,1786.882,1847.346,1868.188,1007.0,1.98,0.048,0.145,0.125,0.128,0.138,-2.3,0.6,0.429,-0.675,-12.9,0.377,0.377,-7.7,0.414,0.377,-7.6,0.387,0.377,-7.6,0.397,0.377,-7.7,0.409,0.377,0,-1.0,87.498
20110101_0957,-27.02,-63.21,586.0,GD.YND.00,24.126,113.363,175.766,1826.168,1897.884,1923.332,1008.0,1.121,0.106,-0.035,-0.009,-0.009,-0.007,6.8,2.6,0.577,-0.891,7.7,0.576,0.576,7.5,0.763,0.576,7.5,0.772,0.576,7.5,0.762,0.576,7.5,0.768,0.576,0,-1.0,135.616
20110101_0957,-27.02,-63.21,586.0,LN.SUZ.00,40.377,120.244,166.341,1780.27,1838.971,1859.106,1009.0,13.284,0.131,0.119,0.118,0.113,0.116,0.0,-0.4,0.761,0.702,-3.7,0.42,0.42,-0.9,0.514,0.42,-0.9,0.533,0.42,-0.8,0.545,0.42,-0.8,0.543,0.42,0,-1.0,-10.939
20110101_0957,-27.02,-63.21,586.0,NM.MZL.00,49.555,117.44,157.46,1734.477,1781.883,1797.668,1010.0,3.027,0.364,0.331,0.314,0.307,0.314,-3.4,-3.4,0.741,0.664,-0.1,0.423,0.423,-4.5,0.456,0.423,-4.5,0.472,0.423,-4.5,0.475,0.423,-4.6,0.468,0.423,0,-1.0,-1.088
20110101_0957,-27.02,-63.21,586.0,1G.NOP05.,39.871,109.883,165.928,1778.195,1836.351,1856.269,1011.0,2.343,0.164,0.148,0.146,0.145,0.146,3.6,3.9,0.753,0.856,6.6,0.353,0.353,-0.9,0.393,0.353,-0.7,0.394,0.353,-0.6,0.397,0.353,-0.7,0.392,0.353,0,-1.0,21.836
20110101_0957,-27.02,-63.21,586.0,XJ.YJS.00,38.521,76.486,144.535,1663.336,1696.235,1706.68,1012.0,1.304,-0.016,0.12,0.125,0.119,0.121,-7.7,-3.4,0.476,-0.044,3.0,0.518,0.518,4.4,0.483,0.518,4.6,0.421,0.518,4.6,0.43,0.518,4.4,0.466,0.518,0,-1.0,60.725
20110101_0957,-27.02,-63.21,586.0,SD.RSH.00,36.92,121.599,169.296,1794.958,1857.626,1879.36,1013.0,2.593,-0.03,-0.077,-0.056,-0.044,-0.058,0.6,4.2,0.658,-0.406,7.5,0.716,0.716,7.7,0.516,0.716,7.8,0.44,0.716,2.6,0.398,0.716,7.8,0.403,0.716,0,-1.0,-20.502
20110101_0957,-27.02,-63.21,586.0,SC.CXI.00,31.707,105.95,169.462,1795.772,1858.665,1880.49,1014.0,2.472,0.032,-0.046,0.016,0.02,-0.017,2.5,-0.3,0.58,-0.693,6.6,0.261,0.261,9.2,0.482,0.261,9.2,0.386,0.261,9.2,0.377,0.261,9.2,0.435,0.261,0,-1.0,60.235
20110101_0957,-27.02,-63.21,586.0,HA.LZH.00,36.061,113.835,170.616,1801.424,1865.898,1888.369,1015.0,3.136,0.092,0.209,0.203,0.18,0.188,0.1,4.0,0.751,-0.786,2.3,0.479,0.479,1.9,0.749,0.479,2.0,0.734,0.479,2.1,0.714,0.479,2.0,0.728,0.479,0,-1.0,14.247
20110101_0957,-27.02,-63.21,586.0,LN.HSH.00,39.537,121.274,166.938,1783.262,1842.756,1863.209,1016.0,4.254,0.058,-0.006,0.001,-0.001,-0.003,0.6,1.0,0.85,0.887,10.5,0.423,0.423,0.5,0.839,0.423,0.6,0.84,0.423,0.7,0.84,0.423,0.6,0.844,0.423,0,-1.0,-15.09
20110101_0957,-27.02,-63.21,586.0,NM.QSH.00,39.9,111.673,166.438,1780.756,1839.586,1859.773,1017.0,6.558,0.222,0.261,0.266,0.27,0.272,1.8,1.8,0.548,0.59,10.5,0.466,0.466,9.6,0.516,0.466,9.6,0.504,0.466,9.6,0.494,0.466,9.6,0.5,0.466,0,-1.0,16.569
20110101_0957,-27.02,-63.21,586.0,TM.CRAI.,20.229,100.373,163.517,1765.975,1820.985,1839.67,1018.0,3.053,0.076,0.082,0.068,0.067,0.077,-0.7,-0.7,0.693,0.737,-1.6,0.8,0.8,-1.1,0.665,0.8,-1.0,0.647,0.8,-1.0,0.646,0.8,-1.1,0.655,0.8,0,-1.0,111.481
